不良贷款控制,个人不良贷款,个人不良贷款控制计划完成率
客户获取,代发业务推动,跨行代发额
客户获取,代发业务推动,本行代发额（他行来账）
客户获取,代发业务推动,本行代发额
客户获取,代发业务推动,有效代发个人客户数
客户获取,代发业务推动,有效代发个人客户数（1-2次）
客户获取,代发业务推动,有效代发个人客户数（3次及以上）
客户获取,代发业务推动,代发个人客户数
客户获取,代发业务推动,代发跨行个人客户数
客户获取,代发业务推动,代发本行个人客户数
客户获取,代发业务推动,代发本行个人客户数（他行来账）
客户获取,代发业务推动,本行有效代发个人客户数
客户获取,代发业务推动,本行有效代发个人客户数（1-2次）
客户获取,代发业务推动,本行有效代发个人客户数（3次及以上）
客户获取,代发业务推动,跨行有效代发个人客户数
客户获取,代发业务推动,跨行有效代发个人客户数（1-2次）
客户获取,代发业务推动,跨行有效代发个人客户数（3次及以上）
客户获取,代发业务推动,本行有效代发个人客户数（他行来账）
客户获取,代发业务推动,有效代发个人客户增量
客户获取,代发业务推动,有效代发个人客户数（上年）
客户获取,代发业务推动,本行有效代发个人客户数（上年）
客户获取,代发业务推动,跨行有效代发个人客户数（上年）
客户获取,代发业务推动,本行有效代发个人客户数-他行来账（上年）
客户获取,代发业务推动,有效代发个人客户增长率
客户获取,代发业务推动,有效代发个人客户总量计划完成率
客户获取,代发业务推动,有效代发个人客户数计划目标
客户获取,代发业务推动,有效代发企业客户数
客户获取,代发业务推动,代发企业个数
客户获取,代发业务推动,本行代发企业数
客户获取,代发业务推动,跨行代发企业数
客户获取,代发业务推动,本行有效代发企业个数
客户获取,代发业务推动,跨行有效代发企业个数
客户获取,代发业务推动,有效代发企业客户增量
客户获取,代发业务推动,有效代发企业客户数（上年）
客户获取,代发业务推动,本行有效代发企业个数（上年）
客户获取,代发业务推动,跨行有效代发企业个数（上年）
客户获取,代发业务推动,有效代发企业客户增长率
客户获取,代发业务推动,有效代发企业客户总量计划完成率
客户获取,代发业务推动,有效代发企业客户数计划目标
客户获取,代发业务推动,有效代发额调整项
客户获取,代发业务推动,有效代发个人数调整项
客户获取,代发业务推动,有效代发企业数调整项
客户获取,代发业务推动,企业本年首次代发日期
客户获取,代发业务推动,企业最近一次代发日期
客户获取,代发业务推动,企业当年发薪月次
客户获取,代发业务推动,企业考核发薪月次
客户获取,代发业务推动,是否为当年新拓展代发企业
客户获取,代发业务推动,是否为有效代发企业
客户获取,代发业务推动,企业所属一级行业名称
客户获取,代发业务推动,企业所属二级行业名称
客户获取,代发业务推动,企业所属三级行业名称
客户获取,代发业务推动,企业所属四级行业名称
客户获取,代发业务推动,开薪易（加内部帐）+核心+公司网银代发企业数
客户获取,代发业务推动,开薪易（加内部帐）+核心+公司网银代发本行个人客户数
客户获取,代发业务推动,开薪易（加内部帐）+核心+公司网银代发他行个人客户数
客户获取,代发业务推动,开薪易（加内部帐）+核心+公司网银本行代发额
客户获取,代发业务推动,开薪易（加内部帐）+核心+公司网银他行代发额
客户获取,代发业务推动,开薪易（加内部帐）+核心+公司网银代发客户AUM时点余额
客户获取,代发业务推动,开薪易（加内部帐）+核心+公司网银代发客户存款时点余额
客户获取,代发业务推动,团金宝代发企业数
客户获取,代发业务推动,团金宝代发本行个人客户数
客户获取,代发业务推动,团金宝代发他行个人客户数
客户获取,代发业务推动,团金宝本行代发额
客户获取,代发业务推动,团金宝他行代发额
客户获取,代发业务推动,团金宝代发客户AUM时点余额
客户获取,代发业务推动,团金宝代发客户存款时点余额
客户获取,代发业务推动,分行特色代发企业数
客户获取,代发业务推动,分行特色代发本行个人客户数
客户获取,代发业务推动,分行特色代发他行个人客户数
客户获取,代发业务推动,分行特色本行代发额
客户获取,代发业务推动,分行特色他行代发额
客户获取,代发业务推动,分行特色代发客户AUM时点余额
客户获取,代发业务推动,分行特色代发客户存款时点余额
客户获取,代发业务推动,公司网银费用报销代发企业数
客户获取,代发业务推动,公司网银费用报销代发本行个人客户数
客户获取,代发业务推动,公司网银费用报销代发他行个人客户数
客户获取,代发业务推动,公司网银费用报销本行代发额
客户获取,代发业务推动,公司网银费用报销他行代发额
客户获取,代发业务推动,公司网银费用报销代发客户AUM时点余额
客户获取,代发业务推动,公司网银费用报销代发客户存款时点余额
客户获取,代发业务推动,e管家代发企业数
客户获取,代发业务推动,e管家代发本行个人客户数
客户获取,代发业务推动,e管家本行代发额
客户获取,代发业务推动,e管家代发客户AUM时点余额
客户获取,代发业务推动,e管家代发客户存款时点余额
客户获取,代发业务推动,托管养老金代发企业数
客户获取,代发业务推动,托管养老金代发本行个人客户数
客户获取,代发业务推动,托管养老金代发他行个人客户数
客户获取,代发业务推动,托管养老金本行代发额
客户获取,代发业务推动,托管养老金他行代发额
客户获取,代发业务推动,托管养老金代发客户AUM时点余额
客户获取,代发业务推动,托管养老金代发客户存款时点余额
客户获取,代发业务推动,他行来账代发企业数
客户获取,代发业务推动,他行来账代发本行个人客户数
客户获取,代发业务推动,他行来账本行代发额
客户获取,代发业务推动,他行来账代发客户AUM时点余额
客户获取,代发业务推动,他行来账代发客户存款时点余额
客户获取,新增激活借记客户（全口径）,新增激活借记客户数（全口径）
客户获取,新增激活借记客户（全口径）,新增激活借记客户计划（全口径）
客户获取,新增激活借记客户（全口径）,新增激活借记客户计划完成率（全口径）
客户获取,信用卡新增客户,信用卡新增客户
客户获取,信用卡新增客户,信用卡新增客户计划
客户获取,信用卡新增客户,信用卡新增客户计划完成率
客户增长,富裕客户增长,富裕客户数（账面）
客户增长,富裕客户增长,富裕客户数（账面）_上年末
客户增长,富裕客户增长,CBI（富裕客户）
客户增长,富裕客户增长,E管家项目（富裕客户）
